Date,Region,Product,Share
202002,El Alto Ciudad,paceña pilsener 620cc ret x156 fut,9.23
202002,El Alto Provincias,paceña pilsener 620cc ret x156 fut,8.39
202002,La Paz Ciudad,paceña pilsener 620cc ret x156 fut,5.47
202002,Oruro Ciudad,huari pilsener 620cc ret x12,4.04
202002,Cochabamba Ciudad,huari pilsener 620cc ret x12,2.4
202002,Santa Cruz Provincias,paceña pilsener 354cc lat x24 si,2.26
202003,Yacuiba,brahma fronteras ret 1l x 12,0.32
202003,Yacuiba,brahma fronteras ret 1l x 12,0.4
202003,Potosi,brahma fronteras ret 1l x 12,0
202003,Tarija,brahma fronteras ret 1l x 12,0.05
202003,Tarija,brahma fronteras ret 1l x 12,0.17
202004,Yacuiba,brahma fronteras ret 1l x 12,0.04
202004,Tarija,brahma fronteras ret 1l x 12,0.03
202005,Yacuiba,brahma fronteras ret 1l x 12,0.12
202005,Potosi,brahma fronteras ret 1l x 12,0
202005,Tarija,brahma fronteras ret 1l x 12,0.03
202005,Tarija,brahma fronteras ret 1l x 12,0.04
202002,Oruro Provincias,huari pilsener 620cc ret x12,1.99
202002,Pando,paceña pilsener 354cc lat x24 si,1.77
202002,Santa Cruz Ciudad,ducal 354cc lat x24 imp,1.67
202002,Santa Cruz Provincias,ducal 354cc lat x24 imp,1.56
202003,Santa Cruz Ciudad,ducal 620cc ret x12,0.02
202003,Santa Cruz Ciudad,ducal 620cc ret x12,0.06
202003,Santa Cruz Ciudad,ducal 620cc ret x12,1.48
202003,Santa Cruz Ciudad Norte,ducal 620cc ret x12,0.08
202003,Santa Cruz Ciudad Norte,ducal 620cc ret x12,0.32
202003,Santa Cruz Provincias,ducal 620cc ret x12,0.25
202004,Santa Cruz Ciudad,ducal 620cc ret x12,0.02
202004,Santa Cruz Ciudad Norte,ducal 620cc ret x12,0.02
202005,Santa Cruz Ciudad,ducal 620cc ret x12,0.03
202005,Santa Cruz Ciudad Norte,ducal 620cc ret x12,0.02
202002,Cochabamba Ciudad,paceña pilsener 710cc ret x12 si,1.41
202002,Tarija,paceña pilsener 1l ret x12 si,1.4
202002,Cochabamba Ciudad,taquiña export 1l ret x12,1.35
202002,Santa Cruz Ciudad,huari pilsener 620cc ret x12,1.2
202005,Santa Cruz Ciudad,ducal 620cc ret x12,0
202005,Santa Cruz Ciudad Norte,ducal 620cc ret x12,0
202002,Santa Cruz Ciudad,paceña pilsener 354cc lat x24 si,1.16
202002,Santa Cruz Ciudad Norte,paceña pilsener 354cc lat x24 si,1.14
202002,Oruro Provincias,huari pilsener 620cc ret x12,1.14
202002,Pando,ducal 354cc lat x24 imp,1.13
202003,Santa Cruz Ciudad,ducal 250 ret x24,0
202003,Santa Cruz Ciudad,ducal 250 ret x24,0.03
202003,Santa Cruz Ciudad,ducal 250 ret x24,0.06
202003,Santa Cruz Ciudad Norte,ducal 250 ret x24,0.05
202004,Santa Cruz Ciudad,ducal 250 ret x24,0.06
202004,Santa Cruz Ciudad Norte,ducal 250 ret x24,0.07
202005,Santa Cruz Ciudad,ducal 250 ret x24,0.05
202005,Santa Cruz Ciudad Norte,ducal 250 ret x24,0.04
202002,Santa Cruz Ciudad Norte,paceña pilsener 710cc ret x12 si,1.12
202002,Santa Cruz Ciudad,paceña pilsener 710cc ret x12 si,1.1
202002,Sucre,paceña pilsener 1l ret x12 si,1.05
202002,El Alto Provincias,taquiña verde 620cc ret x12,0.98
202002,Cochabamba Ciudad,taquiña export 620cc ret x156,0.93
202002,Santa Cruz Provincias,paceña pilsener 710cc ret x12 si,0.91
202002,El Alto Provincias,imperial 620cc ret x12,0.88
202002,La Paz Ciudad,huari pilsener 620cc ret x12,0.87
202002,Santa Cruz Ciudad Norte,ducal 354cc lat x24 imp,0.82
202002,Santa Cruz Provincias,huari pilsener 620cc ret x12,0.82
202003,Santa Cruz Ciudad,ducal 354cc lat x24 imp,0.22
202003,Santa Cruz Ciudad,ducal 354cc lat x24 imp,0.33
202003,Santa Cruz Ciudad,ducal 354cc lat x24 imp,0.79
202003,Santa Cruz Ciudad Norte,ducal 354cc lat x24 imp,0.35
202003,Santa Cruz Ciudad Norte,ducal 354cc lat x24 imp,0.35
202003,Santa Cruz Provincias,ducal 354cc lat x24 imp,0.09
202003,Santa Cruz Provincias,ducal 354cc lat x24 imp,1.32
202003,Trinidad,ducal 354cc lat x24 imp,0.01
202003,Trinidad,ducal 354cc lat x24 imp,0.01
202003,Pando,ducal 354cc lat x24 imp,1.13
202003,Yacuiba,ducal 354cc lat x24 imp,0.11
202003,Yacuiba,ducal 354cc lat x24 imp,0.3
202004,Santa Cruz Ciudad,ducal 354cc lat x24 imp,0.61
202004,Santa Cruz Ciudad,ducal 354cc lat x24 imp,6.49
202004,Santa Cruz Ciudad Norte,ducal 354cc lat x24 imp,5.6
202004,Santa Cruz Provincias,ducal 354cc lat x24 imp,0.91
202004,Yacuiba,ducal 354cc lat x24 imp,0
202005,Santa Cruz Ciudad,ducal 354cc lat x24 imp,0.1
202005,Santa Cruz Ciudad,ducal 354cc lat x24 imp,3.66
202005,Santa Cruz Ciudad,ducal 354cc lat x24 imp,3.68
202005,Santa Cruz Ciudad Norte,ducal 354cc lat x24 imp,0.45
202005,Santa Cruz Ciudad Norte,ducal 354cc lat x24 imp,2.82
202005,Santa Cruz Provincias,ducal 354cc lat x24 imp,0.04
202005,Santa Cruz Provincias,ducal 354cc lat x24 imp,2.73
202005,Cochabamba Ciudad,ducal 354cc lat x24 imp,0.07
202005,Cochabamba Ciudad,ducal 354cc lat x24 imp,0.12
202005,Cochabamba Provincias,ducal 354cc lat x24 imp,0.15
202005,Trinidad,ducal 354cc lat x24 imp,0.01
202005,Yacuiba,ducal 354cc lat x24 imp,0.12
202002,El Alto Provincias,paceña tropical 620cc ret x156,0.78
202002,Cochabamba Provincias,huari pilsener 620cc ret x12,0.77
202002,Santa Cruz Ciudad,ducal 620cc ret x12,0.75
202003,Cochabamba Ciudad,taquiña export 1l ret x12,0.01
202003,Cochabamba Ciudad,taquiña export 1l ret x12,0.01
202003,Cochabamba Ciudad,taquiña export 1l ret x12,1.9
202003,Cochabamba Provincias,taquiña export 1l ret x12,0.35
202004,Cochabamba Ciudad,taquiña export 1l ret x12,0.23
202005,Cochabamba Ciudad,taquiña export 1l ret x12,0.65
202005,Cochabamba Ciudad,taquiña export 1l ret x12,1.18
202005,Cochabamba Provincias,taquiña export 1l ret x12,0.11
202002,Cochabamba Ciudad,baltica 350cc lat x24,0.67
202002,Oruro Ciudad,paceña pilsener 354cc lat x24 si,0.67
202003,Cochabamba Ciudad,taquiña export 620cc ret x156,0
202003,Cochabamba Ciudad,taquiña export 620cc ret x156,0.04
202003,Cochabamba Ciudad,taquiña export 620cc ret x156,1.32
202003,Cochabamba Provincias,taquiña export 620cc ret x156,0.45
202004,Cochabamba Ciudad,taquiña export 620cc ret x156,0.25
202005,Cochabamba Ciudad,taquiña export 620cc ret x156,0.25
202005,Cochabamba Ciudad,taquiña export 620cc ret x156,0.37
202005,Cochabamba Provincias,taquiña export 620cc ret x156,0.3
202002,Santa Cruz Ciudad Norte,paceña pilsener 354cc lat x24 si,0.63
202002,Cochabamba Provincias,paceña pilsener 710cc ret x12 si,0.57
